Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 14, 15, 16, 20, 22, 24, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 14, 15, 17, 18, 20, 24, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 14, 15, 18, 20, 22, 24, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 17, 18, 20, 22, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 17, 18, 20, 24, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 17, 18, 22, 24, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 17, 20, 22, 24, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 18, 19, 20, 22, 24), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 18, 19, 20, 22, 25), Acertos: 13
Jogo: (1, 2, 3, 4, 5, 9, 11, 12, 15, 16, 18, 19, 20, 24, 25), Acertos: 13
